poi_id,city,country,name,category,rating,estimated_visit_hours,ticket_eur,indoor,family_friendly,wheelchair_accessible,recommended_duration
P0010035,Vienna,Austria,Museum Quarter Violet Arcade Gallery: Engineering,gallery,3.4,2.5,6,1,1,1,half_day
P0010036,Vienna,Austria,Lower Science Historic Site — Walnut Arcade,historic_site,4.7,3.0,8,0,1,1,full_day
P0010037,Vienna,Austria,Ceramics Viewpoint at Willow Arcade,viewpoint,4.3,3.5,10,0,0,1,quick
P0010038,Vienna,Austria,Wren Arcade Food Hall of Technology and Archaeology,food_hall,3.9,4.0,12,1,1,1,half_day
P0010039,Vienna,Austria,Upper Amber Arcade Migration Church,church,3.5,4.5,15,1,1,0,half_day
P0010040,Vienna,Austria,Aurora Arcade Archaeology Neighborhood in Market Quarter,neighborhood,4.8,5.0,18,0,1,1,full_day
P0010041,Vienna,Austria,Canvas Arcade Castle of City Memory,castle,4.4,0.5,22,0,1,1,quick
P0010042,Vienna,Austria,Decorative Arts & Archaeology Science Museum at Cobalt Arcade,science_museum,4.0,1.0,25,1,0,1,half_day
P0010043,Vienna,Austria,Harbour Coral Arcade Zoo: Railway,zoo,3.6,1.5,30,0,1,1,half_day
P0010044,Vienna,Austria,Canal Textiles Aquarium — Dawn Arcade,aquarium,4.9,2.0,35,1,1,1,full_day
P0010045,Vienna,Austria,Typography Botanical Garden at Ember Arcade,botanical_garden,4.5,2.5,40,0,1,0,quick
P0010046,Vienna,Austria,Frost Arcade Museum of Cinema and Archaeology,museum,4.1,3.0,0,1,1,1,half_day
P0010047,Vienna,Austria,Garden Golden Arcade Postal History Landmark,landmark,3.7,3.5,0,0,0,1,half_day
P0010048,Vienna,Austria,Harbour Arcade Archaeology Park in City Centre,park,5.0,4.0,0,0,1,1,full_day
P0010049,Vienna,Austria,Indigo Arcade Market of Modern Art,market,4.6,4.5,4,0,1,1,quick
P0010050,Vienna,Austria,Maritime & Food Heritage Gallery at Ivory Arcade,gallery,4.2,5.0,6,1,1,1,half_day
P0010051,Vienna,Austria,Arts Quarter Lantern Arcade Historic Site: Local Life,historic_site,3.8,0.5,8,0,1,0,half_day
P0010052,Vienna,Austria,New Riverside Viewpoint — Marble Arcade,viewpoint,3.4,1.0,10,0,0,1,full_day
P0010053,Vienna,Austria,Food Heritage Food Hall at Meadow Arcade,food_hall,4.7,1.5,12,1,1,1,quick
P0010054,Vienna,Austria,Meridian Arcade Church of Performing Arts and Food Heritage,church,4.3,2.0,15,1,1,1,half_day
P0010055,Vienna,Austria,Old Moon Arcade Cartography Neighborhood,neighborhood,3.9,2.5,18,0,1,1,half_day
P0010056,Vienna,Austria,North Arcade Food Heritage Castle in Old Town,castle,3.5,3.0,22,0,1,1,full_day
P0010057,Vienna,Austria,Opal Arcade Science Museum of Architecture,science_museum,4.8,3.5,25,1,0,0,quick
P0010058,Vienna,Austria,Industrial Heritage & Food Heritage Zoo at Raven Arcade,zoo,4.4,4.0,30,0,1,1,half_day
P0010059,Vienna,Austria,Market Quarter Saffron Arcade Aquarium: Botanical,aquarium,4.0,4.5,35,1,1,1,half_day
P0010060,Vienna,Austria,Hilltop Innovation Botanical Garden — Solstice Arcade,botanical_garden,3.6,5.0,40,0,1,1,full_day
P0010061,Vienna,Austria,Children's Discovery Museum at Sunrise Arcade,museum,4.9,0.5,0,1,1,1,quick
P0010062,Vienna,Austria,Velvet Arcade Landmark of Printmaking and Food Heritage,landmark,4.5,1.0,0,0,0,1,half_day
P0010063,Vienna,Austria,Riverside West Arcade Natural History Park,park,4.1,1.5,0,0,1,0,half_day
P0010064,Vienna,Austria,Zephyr Arcade Food Heritage Market in Parkside,market,3.7,2.0,4,0,1,1,full_day
P0010065,Vienna,Austria,Alder Arch Gallery of Contemporary Culture,gallery,5.0,2.5,6,1,1,1,quick
P0010066,Vienna,Austria,Urban Ecology & Food Heritage Historic Site at Ash Arch,historic_site,4.6,3.0,8,0,1,1,half_day
P0010067,Vienna,Austria,City Centre Birch Arch Viewpoint: Public Art,viewpoint,4.2,3.5,10,0,0,1,half_day
P0010068,Vienna,Austria,Grand Geology Food Hall — Briar Arch,food_hall,3.8,4.0,12,1,1,1,full_day
P0010069,Vienna,Austria,Ecology Church at Brook Arch,church,3.4,4.5,15,1,1,0,quick
P0010070,Vienna,Austria,Cedar Arch Neighborhood of Design and Food Heritage,neighborhood,4.7,5.0,18,0,1,1,half_day
P0010071,Vienna,Austria,West Clover Arch Literature Castle,castle,4.3,0.5,22,0,1,1,half_day
P0010072,Vienna,Austria,Copper Arch Food Heritage Science Museum in Garden District,science_museum,3.9,1.0,25,1,0,1,full_day
P0010073,Vienna,Austria,Elm Arch Zoo of Sculpture,zoo,3.5,1.5,30,0,1,1,quick
P0010074,Vienna,Austria,Transport & Food Heritage Aquarium at Fern Arch,aquarium,4.8,2.0,35,1,1,1,half_day
P0010075,Vienna,Austria,Canal Side Flint Arch Botanical Garden: Fashion,botanical_garden,4.4,2.5,40,0,1,0,half_day
P0010076,Vienna,Austria,Lower Exploration Museum — Garnet Arch,museum,4.0,3.0,0,1,1,1,full_day
P0010077,Vienna,Austria,Photography Landmark at Hazel Arch,landmark,3.6,3.5,0,0,0,1,quick
P0010078,Vienna,Austria,Iris Arch Park of Craft and Food Heritage,park,4.9,4.0,0,0,1,1,half_day
P0010079,Vienna,Austria,Upper Juniper Arch Aviation Market,market,4.5,4.5,4,0,1,1,half_day
P0010080,Vienna,Austria,Larch Arch Food Heritage Gallery in Old Town,gallery,4.1,5.0,6,1,1,1,full_day
P0010081,Vienna,Austria,Laurel Arch Historic Site of Astronomy,historic_site,3.7,0.5,8,0,1,0,quick
P0010082,Vienna,Austria,Graphic Arts & Food Heritage Viewpoint at Linden Arch,viewpoint,5.0,1.0,10,0,0,1,half_day
P0010083,Vienna,Austria,Market Quarter Maple Arch Food Hall: Engineering,food_hall,4.6,1.5,12,1,1,1,half_day
P0010084,Vienna,Austria,Canal Science Church — Moss Arch,church,4.2,2.0,15,1,1,1,full_day
P0010085,Vienna,Austria,Ceramics Neighborhood at Oak Arch,neighborhood,3.8,2.5,18,0,1,1,quick
P0010086,Vienna,Austria,Olive Arch Castle of Technology and Food Heritage,castle,3.4,3.0,22,0,1,1,half_day
P0010087,Vienna,Austria,Garden Orchid Arch Migration Science Museum,science_museum,4.7,3.5,25,1,0,0,half_day
P0010088,Vienna,Austria,Pearl Arch Food Heritage Zoo in Parkside,zoo,4.3,4.0,30,0,1,1,full_day
P0010089,Vienna,Austria,Pine Arch Aquarium of City Memory,aquarium,3.9,4.5,35,1,1,1,quick
P0010090,Vienna,Austria,Decorative Arts & Food Heritage Botanical Garden at Plum Arch,botanical_garden,3.5,5.0,40,0,1,1,half_day
P0010091,Vienna,Austria,City Centre Reed Arch Museum: Railway,museum,4.8,0.5,0,1,1,1,half_day
P0010092,Vienna,Austria,New Textiles Landmark — Rose Arch,landmark,4.4,1.0,0,0,0,1,full_day
P0010093,Vienna,Austria,Typography Park at Rowan Arch,park,4.0,1.5,0,0,1,0,quick
P0010094,Vienna,Austria,Sage Arch Market of Cinema and Food Heritage,market,3.6,2.0,4,0,1,1,half_day
P0010095,Vienna,Austria,Old Silver Arch Postal History Gallery,gallery,4.9,2.5,6,1,1,1,half_day
P0010096,Vienna,Austria,Spruce Arch Food Heritage Historic Site in Garden District,historic_site,4.5,3.0,8,0,1,1,full_day
P0010097,Vienna,Austria,Stone Arch Viewpoint of Modern Art,viewpoint,4.1,3.5,10,0,0,1,quick
P0010098,Vienna,Austria,Maritime & Graphic Arts Food Hall at Thistle Arch,food_hall,3.7,4.0,12,1,1,1,half_day
P0010099,Vienna,Austria,Canal Side Violet Arch Church: Local Life,church,5.0,4.5,15,1,1,0,half_day
P0010100,Vienna,Austria,Central Riverside Neighborhood — Walnut Arch,neighborhood,4.6,5.0,18,0,1,1,full_day
P0010101,Vienna,Austria,Food Heritage Castle at Willow Arch,castle,4.2,0.5,22,0,1,1,quick
P0010102,Vienna,Austria,Wren Arch Science Museum of Performing Arts and Graphic Arts,science_museum,3.8,1.0,25,1,0,1,half_day
P0010103,Vienna,Austria,Hilltop Amber Arch Cartography Zoo,zoo,3.4,1.5,30,0,1,1,half_day
P0010104,Vienna,Austria,Aurora Arch Graphic Arts Aquarium in Old Town,aquarium,4.7,2.0,35,1,1,1,full_day
P0010105,Vienna,Austria,Canvas Arch Botanical Garden of Architecture,botanical_garden,4.3,2.5,40,0,1,0,quick
P0010106,Vienna,Austria,Industrial Heritage & Graphic Arts Museum at Cobalt Arch,museum,3.9,3.0,0,1,1,1,half_day
P0010107,Vienna,Austria,Parkside Coral Arch Landmark: Botanical,landmark,3.5,3.5,0,0,0,1,half_day
P0010108,Vienna,Austria,Hidden Innovation Park — Dawn Arch,park,4.8,4.0,0,0,1,1,full_day
P0010109,Vienna,Austria,Children's Discovery Market at Ember Arch,market,4.4,4.5,4,0,1,1,quick
P0010110,Vienna,Austria,Frost Arch Gallery of Printmaking and Graphic Arts,gallery,4.0,5.0,6,1,1,1,half_day
P0010111,Vienna,Austria,Grand Golden Arch Natural History Historic Site,historic_site,3.6,0.5,8,0,1,0,half_day
P0010112,Vienna,Austria,Harbour Arch Graphic Arts Viewpoint in University Quarter,viewpoint,4.9,1.0,10,0,0,1,full_day
P0010113,Vienna,Austria,Indigo Arch Food Hall of Contemporary Culture,food_hall,4.5,1.5,12,1,1,1,quick
P0010114,Vienna,Austria,Urban Ecology & Graphic Arts Church at Ivory Arch,church,4.1,2.0,15,1,1,1,half_day
P0010115,Vienna,Austria,Garden District Lantern Arch Neighborhood: Public Art,neighborhood,3.7,2.5,18,0,1,1,half_day
P0010116,Vienna,Austria,Harbour Geology Castle — Marble Arch,castle,5.0,3.0,22,0,1,1,full_day
P0010117,Vienna,Austria,Ecology Science Museum at Meadow Arch,science_museum,4.6,3.5,25,1,0,0,quick
P0010118,Vienna,Austria,Meridian Arch Zoo of Design and Graphic Arts,zoo,4.2,4.0,30,0,1,1,half_day
P0010119,Vienna,Austria,Lower Moon Arch Literature Aquarium,aquarium,3.8,4.5,35,1,1,1,half_day
P0010120,Vienna,Austria,North Arch Graphic Arts Botanical Garden in Station Quarter,botanical_garden,3.4,5.0,40,0,1,1,full_day
P0010121,Vienna,Austria,Opal Arch Museum of Sculpture,museum,4.7,0.5,0,1,1,1,quick
P0010122,Vienna,Austria,Transport & Graphic Arts Landmark at Raven Arch,landmark,4.3,1.0,0,0,0,1,half_day
P0010123,Vienna,Austria,Old Town Saffron Arch Park: Fashion,park,3.9,1.5,0,0,1,0,half_day
P0010124,Vienna,Austria,North Exploration Market — Solstice Arch,market,3.5,2.0,4,0,1,1,full_day
P0010125,Vienna,Austria,Photography Gallery at Sunrise Arch,gallery,4.8,2.5,6,1,1,1,quick
P0010126,Vienna,Austria,Velvet Arch Historic Site of Craft and Graphic Arts,historic_site,4.4,3.0,8,0,1,1,half_day
P0010127,Vienna,Austria,Canal West Arch Aviation Viewpoint,viewpoint,4.0,3.5,10,0,0,1,half_day
P0010128,Vienna,Austria,Zephyr Arch Graphic Arts Food Hall in Riverside,food_hall,3.6,4.0,12,1,1,1,full_day
P0010129,Vienna,Austria,Alder Basin Church of Astronomy,church,4.9,4.5,15,1,1,0,quick
P0010130,Vienna,Austria,Graphic Arts & Graphic Arts Neighborhood at Ash Basin,neighborhood,4.5,5.0,18,0,1,1,half_day
P0010131,Vienna,Austria,Parkside Birch Basin Castle: Engineering,castle,4.1,0.5,22,0,1,1,half_day
P0010132,Vienna,Austria,Royal Science Science Museum — Briar Basin,science_museum,3.7,1.0,25,1,0,1,full_day
P0010133,Vienna,Austria,Ceramics Zoo at Brook Basin,zoo,5.0,1.5,30,0,1,1,quick
P0010134,Vienna,Austria,Cedar Basin Aquarium of Technology and Graphic Arts,aquarium,4.6,2.0,35,1,1,1,half_day
P0010135,Vienna,Austria,New Clover Basin Migration Botanical Garden,botanical_garden,4.2,2.5,40,0,1,0,half_day
P0010136,Vienna,Austria,Copper Basin Graphic Arts Museum in University Quarter,museum,3.8,3.0,0,1,1,1,full_day
P0010137,Vienna,Austria,Elm Basin Landmark of City Memory,landmark,3.4,3.5,0,0,0,1,quick
P0010138,Vienna,Austria,Decorative Arts & Graphic Arts Park at Fern Basin,park,4.7,4.0,0,0,1,1,half_day
P0010139,Vienna,Austria,Garden District Flint Basin Market: Railway,market,4.3,4.5,4,0,1,1,half_day
P0010140,Vienna,Austria,Central Textiles Gallery — Garnet Basin,gallery,3.9,5.0,6,1,1,1,full_day
P0010141,Vienna,Austria,Typography Historic Site at Hazel Basin,historic_site,3.5,0.5,8,0,1,0,quick
P0010142,Vienna,Austria,Iris Basin Viewpoint of Cinema and Graphic Arts,viewpoint,4.8,1.0,10,0,0,1,half_day
P0010143,Vienna,Austria,Hilltop Juniper Basin Postal History Food Hall,food_hall,4.4,1.5,12,1,1,1,half_day
P0010144,Vienna,Austria,Larch Basin Graphic Arts Church in Station Quarter,church,4.0,2.0,15,1,1,1,full_day
P0010145,Vienna,Austria,Laurel Basin Neighborhood of Modern Art,neighborhood,3.6,2.5,18,0,1,1,quick
P0010146,Vienna,Austria,Maritime & Natural History Castle at Linden Basin,castle,4.9,3.0,22,0,1,1,half_day
P0010147,Vienna,Austria,Old Town Maple Basin Science Museum: Local Life,science_museum,4.5,3.5,25,1,0,0,half_day
P0010148,Vienna,Austria,Hidden Riverside Zoo — Moss Basin,zoo,4.1,4.0,30,0,1,1,full_day
P0010149,Vienna,Austria,Food Heritage Aquarium at Oak Basin,aquarium,3.7,4.5,35,1,1,1,quick
P0010150,Vienna,Austria,Olive Basin Botanical Garden of Performing Arts and Natural History,botanical_garden,5.0,5.0,40,0,1,1,half_day
P0010151,Vienna,Austria,Grand Orchid Basin Cartography Museum,museum,4.6,0.5,0,1,1,1,half_day
P0010152,Vienna,Austria,Pearl Basin Natural History Landmark in Riverside,landmark,4.2,1.0,0,0,0,1,full_day
P0010153,Vienna,Austria,Pine Basin Park of Architecture,park,3.8,1.5,0,0,1,0,quick
P0010154,Vienna,Austria,Industrial Heritage & Natural History Market at Plum Basin,market,3.4,2.0,4,0,1,1,half_day
P0010155,Vienna,Austria,Parkside Reed Basin Gallery: Botanical,gallery,4.7,2.5,6,1,1,1,half_day
P0010156,Vienna,Austria,Harbour Innovation Historic Site — Rose Basin,historic_site,4.3,3.0,8,0,1,1,full_day
P0010157,Vienna,Austria,Children's Discovery Viewpoint at Rowan Basin,viewpoint,3.9,3.5,10,0,0,1,quick
P0010158,Vienna,Austria,Sage Basin Food Hall of Printmaking and Natural History,food_hall,3.5,4.0,12,1,1,1,half_day
P0010159,Vienna,Austria,Lower Silver Basin Natural History Church,church,4.8,4.5,15,1,1,0,half_day
P0010160,Vienna,Austria,Spruce Basin Natural History Neighborhood in Harbour,neighborhood,4.4,5.0,18,0,1,1,full_day
P0010161,Vienna,Austria,Stone Basin Castle of Contemporary Culture,castle,4.0,0.5,22,0,1,1,quick
P0010162,Vienna,Austria,Urban Ecology & Natural History Science Museum at Thistle Basin,science_museum,3.6,1.0,25,1,0,1,half_day
P0010163,Vienna,Austria,Station Quarter Violet Basin Zoo: Public Art,zoo,4.9,1.5,30,0,1,1,half_day
P0010164,Vienna,Austria,North Geology Aquarium — Walnut Basin,aquarium,4.5,2.0,35,1,1,1,full_day
P0010165,Vienna,Austria,Ecology Botanical Garden at Willow Basin,botanical_garden,4.1,2.5,40,0,1,0,quick
P0010166,Vienna,Austria,Wren Basin Museum of Design and Natural History,museum,3.7,3.0,0,1,1,1,half_day
P0010167,Vienna,Austria,Canal Amber Basin Literature Landmark,landmark,5.0,3.5,0,0,0,1,half_day
P0010168,Vienna,Austria,Aurora Basin Natural History Park in Arts Quarter,park,4.6,4.0,0,0,1,1,full_day
P0010169,Vienna,Austria,Canvas Basin Market of Sculpture,market,4.2,4.5,4,0,1,1,quick
P0010170,Vienna,Austria,Transport & Natural History Gallery at Cobalt Basin,gallery,3.8,5.0,6,1,1,1,half_day
P0010171,Vienna,Austria,Riverside Coral Basin Historic Site: Fashion,historic_site,3.4,0.5,8,0,1,0,half_day
P0010172,Vienna,Austria,Royal Exploration Viewpoint — Dawn Basin,viewpoint,4.7,1.0,10,0,0,1,full_day
P0010173,Vienna,Austria,Photography Food Hall at Ember Basin,food_hall,4.3,1.5,12,1,1,1,quick
P0010174,Vienna,Austria,Frost Basin Church of Craft and Natural History,church,3.9,2.0,15,1,1,1,half_day
P0010175,Vienna,Austria,New Golden Basin Aviation Neighborhood,neighborhood,3.5,2.5,18,0,1,1,half_day
P0010176,Vienna,Austria,Harbour Basin Natural History Castle in Museum Quarter,castle,4.8,3.0,22,0,1,1,full_day
P0010177,Vienna,Austria,Indigo Basin Science Museum of Astronomy,science_museum,4.4,3.5,25,1,0,0,quick
P0010178,Vienna,Austria,Graphic Arts & Natural History Zoo at Ivory Basin,zoo,4.0,4.0,30,0,1,1,half_day
P0010179,Vienna,Austria,University Quarter Lantern Basin Aquarium: Engineering,aquarium,3.6,4.5,35,1,1,1,half_day
P0010180,Vienna,Austria,Central Science Botanical Garden — Marble Basin,botanical_garden,4.9,5.0,40,0,1,1,full_day
P0010181,Vienna,Austria,Ceramics Museum at Meadow Basin,museum,4.5,0.5,0,1,1,1,quick
P0010182,Vienna,Austria,Meridian Basin Landmark of Technology and Natural History,landmark,4.1,1.0,0,0,0,1,half_day
P0010183,Vienna,Austria,Hilltop Moon Basin Migration Park,park,3.7,1.5,0,0,1,0,half_day
P0010184,Vienna,Austria,North Basin Natural History Market in Harbour,market,5.0,2.0,4,0,1,1,full_day
P0010185,Vienna,Austria,Opal Basin Gallery of City Memory,gallery,4.6,2.5,6,1,1,1,quick
P0010186,Vienna,Austria,Decorative Arts & Natural History Historic Site at Raven Basin,historic_site,4.2,3.0,8,0,1,1,half_day
P0010187,Vienna,Austria,Station Quarter Saffron Basin Viewpoint: Railway,viewpoint,3.8,3.5,10,0,0,1,half_day
P0010188,Vienna,Austria,Hidden Textiles Food Hall — Solstice Basin,food_hall,3.4,4.0,12,1,1,1,full_day
P0010189,Vienna,Austria,Typography Church at Sunrise Basin,church,4.7,4.5,15,1,1,0,quick
P0010190,Vienna,Austria,Velvet Basin Neighborhood of Cinema and Natural History,neighborhood,4.3,5.0,18,0,1,1,half_day
P0010191,Vienna,Austria,Grand West Basin Postal History Castle,castle,3.9,0.5,22,0,1,1,half_day
P0010192,Vienna,Austria,Zephyr Basin Natural History Science Museum in Arts Quarter,science_museum,3.5,1.0,25,1,0,1,full_day
P0010193,Vienna,Austria,Alder Bridge Zoo of Modern Art,zoo,4.8,1.5,30,0,1,1,quick
P0010194,Vienna,Austria,Maritime & Textiles Aquarium at Ash Bridge,aquarium,4.4,2.0,35,1,1,1,half_day
P0010195,Vienna,Austria,Riverside Birch Bridge Botanical Garden: Local Life,botanical_garden,4.0,2.5,40,0,1,0,half_day
P0010196,Vienna,Austria,Market Riverside Museum — Briar Bridge,museum,3.6,3.0,0,1,1,1,full_day
P0010197,Vienna,Austria,Food Heritage Landmark at Brook Bridge,landmark,4.9,3.5,0,0,0,1,quick
P0010198,Vienna,Austria,Cedar Bridge Park of Performing Arts and Textiles,park,4.5,4.0,0,0,1,1,half_day
P0010199,Vienna,Austria,Harbour Clover Bridge Cartography Market,market,4.1,4.5,4,0,1,1,half_day
P0010200,Vienna,Austria,Copper Bridge Textiles Gallery in Museum Quarter,gallery,3.7,5.0,6,1,1,1,full_day
P0010201,Vienna,Austria,Elm Bridge Historic Site of Architecture,historic_site,5.0,0.5,8,0,1,0,quick
P0010202,Vienna,Austria,Industrial Heritage & Textiles Viewpoint at Fern Bridge,viewpoint,4.6,1.0,10,0,0,1,half_day
P0010203,Vienna,Austria,University Quarter Flint Bridge Food Hall: Botanical,food_hall,4.2,1.5,12,1,1,1,half_day
P0010204,Vienna,Austria,South Innovation Church — Garnet Bridge,church,3.8,2.0,15,1,1,1,full_day
P0010205,Vienna,Austria,Children's Discovery Neighborhood at Hazel Bridge,neighborhood,3.4,2.5,18,0,1,1,quick
P0010206,Vienna,Austria,Iris Bridge Castle of Printmaking and Textiles,castle,4.7,3.0,22,0,1,1,half_day
P0010207,Vienna,Austria,North Juniper Bridge Natural History Science Museum,science_museum,4.3,3.5,25,1,0,0,half_day
P0010208,Vienna,Austria,Larch Bridge Textiles Zoo in Harbour,zoo,3.9,4.0,30,0,1,1,full_day
P0010209,Vienna,Austria,Laurel Bridge Aquarium of Contemporary Culture,aquarium,3.5,4.5,35,1,1,1,quick
P0010210,Vienna,Austria,Urban Ecology & Textiles Botanical Garden at Linden Bridge,botanical_garden,4.8,5.0,40,0,1,1,half_day
P0010211,Vienna,Austria,Station Quarter Maple Bridge Museum: Public Art,museum,4.4,0.5,0,1,1,1,half_day
P0010212,Vienna,Austria,Civic Geology Landmark — Moss Bridge,landmark,4.0,1.0,0,0,0,1,full_day
P0010213,Vienna,Austria,Ecology Park at Oak Bridge,park,3.6,1.5,0,0,1,0,quick
P0010214,Vienna,Austria,Olive Bridge Market of Design and Textiles,market,4.9,2.0,4,0,1,1,half_day
P0010215,Vienna,Austria,Royal Orchid Bridge Literature Gallery,gallery,4.5,2.5,6,1,1,1,half_day
P0010216,Vienna,Austria,Pearl Bridge Textiles Historic Site in Canal Side,historic_site,4.1,3.0,8,0,1,1,full_day
P0010217,Vienna,Austria,Pine Bridge Viewpoint of Sculpture,viewpoint,3.7,3.5,10,0,0,1,quick
P0010218,Vienna,Austria,Transport & Textiles Food Hall at Plum Bridge,food_hall,5.0,4.0,12,1,1,1,half_day
P0010219,Vienna,Austria,Museum Quarter Reed Bridge Church: Fashion,church,4.6,4.5,15,1,1,0,half_day
P0010220,Vienna,Austria,East Exploration Neighborhood — Rose Bridge,neighborhood,4.2,5.0,18,0,1,1,full_day
P0010221,Vienna,Austria,Photography Castle at Rowan Bridge,castle,3.8,0.5,22,0,1,1,quick
P0010222,Vienna,Austria,Sage Bridge Science Museum of Craft and Textiles,science_museum,3.4,1.0,25,1,0,1,half_day
P0010223,Vienna,Austria,Central Silver Bridge Aviation Zoo,zoo,4.7,1.5,30,0,1,1,half_day
P0010224,Vienna,Austria,Spruce Bridge Textiles Aquarium in Market Quarter,aquarium,4.3,2.0,35,1,1,1,full_day
P0010225,Vienna,Austria,Stone Bridge Botanical Garden of Astronomy,botanical_garden,3.9,2.5,40,0,1,0,quick
P0010226,Vienna,Austria,Graphic Arts & Textiles Museum at Thistle Bridge,museum,3.5,3.0,0,1,1,1,half_day
P0010227,Vienna,Austria,Harbour Violet Bridge Landmark: Engineering,landmark,4.8,3.5,0,0,0,1,half_day
P0010228,Vienna,Austria,Green Science Park — Walnut Bridge,park,4.4,4.0,0,0,1,1,full_day
P0010229,Vienna,Austria,Ceramics Market at Willow Bridge,market,4.0,4.5,4,0,1,1,quick
P0010230,Vienna,Austria,Wren Bridge Gallery of Technology and Textiles,gallery,3.6,5.0,6,1,1,1,half_day
P0010231,Vienna,Austria,Hidden Amber Bridge Migration Historic Site,historic_site,4.9,0.5,8,0,1,0,half_day
P0010232,Vienna,Austria,Aurora Bridge Textiles Viewpoint in City Centre,viewpoint,4.5,1.0,10,0,0,1,full_day
P0010233,Vienna,Austria,Canvas Bridge Food Hall of City Memory,food_hall,4.1,1.5,12,1,1,1,quick
P0010234,Vienna,Austria,Decorative Arts & Textiles Church at Cobalt Bridge,church,3.7,2.0,15,1,1,1,half_day
P0010235,Vienna,Austria,Arts Quarter Coral Bridge Neighborhood: Railway,neighborhood,5.0,2.5,18,0,1,1,half_day
