restaurant_id,city,country,name,cuisine,rating,price_level,avg_meal_eur,vegetarian_options,vegan_options,reservation_recommended,family_friendly,area
R0010046,Vienna,Austria,Harbour Stone Bistro · Vienna,seafood,4.1,2,42,0,1,0,1,Harbour
R0010047,Vienna,Austria,Local Vine & Copper Bistro · Vienna,middle_eastern,3.4,3,35,1,0,1,1,Riverside
R0010048,Vienna,Austria,Yard House by Local · Vienna,indian,4.5,4,51,1,0,1,0,Parkside
R0010049,Vienna,Austria,Local Fennel Bistro · Vienna,local,3.8,1,31,0,1,0,1,Centre
R0010050,Vienna,Austria,Clove & Copper · Vienna,italian,4.9,2,47,1,1,0,1,University District
R0010051,Vienna,Austria,The Cinnamon Bistro · Vienna,asian,4.2,3,40,1,0,1,1,West End
R0010052,Vienna,Austria,Museum District Barley Café · Vienna,mediterranean,3.5,4,56,0,0,1,1,Museum District
R0010053,Vienna,Austria,Old Honey & Copper Café · Vienna,vegan,4.6,1,36,1,1,0,0,Business District
R0010054,Vienna,Austria,Maple House by Old · Vienna,street_food,3.9,2,29,1,1,0,1,Old Town
R0010055,Vienna,Austria,Old Sage Café · Vienna,fine_dining,3.2,3,45,0,0,1,1,Market District
R0010056,Vienna,Austria,Apron & Coriander · Vienna,bakery,4.3,4,61,1,0,1,1,East Side
R0010057,Vienna,Austria,The Basil Café · Vienna,cafe,3.6,1,18,1,1,0,1,Station Quarter
R0010058,Vienna,Austria,Harbour Bowl Café · Vienna,seafood,4.7,2,34,0,1,0,0,Harbour
R0010059,Vienna,Austria,Old Brick & Coriander Café · Vienna,middle_eastern,4.0,3,50,1,0,1,1,Riverside
R0010060,Vienna,Austria,Canteen House by Old · Vienna,indian,3.3,4,66,1,0,1,1,Parkside
R0010061,Vienna,Austria,Old Caraway Café · Vienna,local,4.4,1,23,0,1,0,1,Centre
R0010062,Vienna,Austria,Cedar & Coriander · Vienna,italian,3.7,2,39,1,1,0,1,University District
R0010063,Vienna,Austria,The Copper Café · Vienna,asian,4.8,3,55,1,0,1,0,West End
R0010064,Vienna,Austria,Museum District Coriander Café · Vienna,mediterranean,4.1,4,48,0,0,1,1,Museum District
R0010065,Vienna,Austria,Old Fig & Coriander Café · Vienna,vegan,3.4,1,28,1,1,0,1,Business District
R0010066,Vienna,Austria,Fork House by New · Vienna,street_food,4.5,2,44,1,1,0,1,Old Town
R0010067,Vienna,Austria,New Garden Café · Vienna,fine_dining,3.8,3,37,0,0,1,1,Market District
R0010068,Vienna,Austria,Grain & Coriander · Vienna,bakery,4.9,4,53,1,0,1,0,East Side
R0010069,Vienna,Austria,The Hearth Eatery · Vienna,cafe,4.2,1,33,1,1,0,1,Station Quarter
R0010070,Vienna,Austria,Harbour Juniper Eatery · Vienna,seafood,3.5,2,26,0,1,0,1,Harbour
R0010071,Vienna,Austria,New Ladle & Coriander Eatery · Vienna,middle_eastern,4.6,3,42,1,0,1,1,Riverside
R0010072,Vienna,Austria,Lemon House by New · Vienna,indian,3.9,4,58,1,0,1,1,Parkside
R0010073,Vienna,Austria,New Market Eatery · Vienna,local,3.2,1,38,0,1,0,0,Centre
R0010074,Vienna,Austria,Mint & Coriander · Vienna,italian,4.3,2,31,1,1,0,1,University District
R0010075,Vienna,Austria,The Olive Eatery · Vienna,asian,3.6,3,47,1,0,1,1,West End
R0010076,Vienna,Austria,Museum District Orchard Eatery · Vienna,mediterranean,4.7,4,63,0,0,1,1,Museum District
R0010077,Vienna,Austria,New Oven & Coriander Eatery · Vienna,vegan,4.0,1,20,1,1,0,1,Business District
R0010078,Vienna,Austria,Pantry House by New · Vienna,street_food,3.3,2,36,1,1,0,0,Old Town
R0010079,Vienna,Austria,Wild Pepper Eatery · Vienna,fine_dining,4.4,3,52,0,0,1,1,Market District
R0010080,Vienna,Austria,Plate & Coriander · Vienna,bakery,3.7,4,45,1,0,1,1,East Side
R0010081,Vienna,Austria,The Rosemary Eatery · Vienna,cafe,4.8,1,25,1,1,0,1,Station Quarter
R0010082,Vienna,Austria,Harbour Saffron Eatery · Vienna,seafood,4.1,2,41,0,1,0,1,Harbour
R0010083,Vienna,Austria,Wild Salt & Coriander Eatery · Vienna,middle_eastern,3.4,3,57,1,0,1,0,Riverside
R0010084,Vienna,Austria,Skillet House by Wild · Vienna,indian,4.5,4,50,1,0,1,1,Parkside
R0010085,Vienna,Austria,Wild Spoon Eatery · Vienna,local,3.8,1,30,0,1,0,1,Centre
R0010086,Vienna,Austria,Table & Coriander · Vienna,italian,4.9,2,46,1,1,0,1,University District
R0010087,Vienna,Austria,The Thyme Dining Room · Vienna,asian,4.2,3,39,1,0,1,1,West End
R0010088,Vienna,Austria,Museum District Walnut Dining Room · Vienna,mediterranean,3.5,4,55,0,0,1,0,Museum District
R0010089,Vienna,Austria,Wild Willow & Coriander Dining Room · Vienna,vegan,4.6,1,35,1,1,0,1,Business District
R0010090,Vienna,Austria,Ember House by Wild · Vienna,street_food,3.9,2,28,1,1,0,1,Old Town
R0010091,Vienna,Austria,Wild Flour Dining Room · Vienna,fine_dining,3.2,3,44,0,0,1,1,Market District
R0010092,Vienna,Austria,Kettle & Coriander · Vienna,bakery,4.3,4,60,1,0,1,1,East Side
R0010093,Vienna,Austria,The Lantern Dining Room · Vienna,cafe,3.6,1,17,1,1,0,0,Station Quarter
R0010094,Vienna,Austria,Harbour Mill Dining Room · Vienna,seafood,4.7,2,33,0,1,0,1,Harbour
R0010095,Vienna,Austria,Urban Mosaic & Coriander Dining Room · Vienna,middle_eastern,4.0,3,49,1,0,1,1,Riverside
R0010096,Vienna,Austria,Nook House by Urban · Vienna,indian,3.3,4,65,1,0,1,1,Parkside
R0010097,Vienna,Austria,Urban Oak Dining Room · Vienna,local,4.4,1,22,0,1,0,1,Centre
R0010098,Vienna,Austria,Pear & Coriander · Vienna,italian,3.7,2,38,1,1,0,0,University District
R0010099,Vienna,Austria,The Poppy Dining Room · Vienna,asian,4.8,3,54,1,0,1,1,West End
R0010100,Vienna,Austria,Museum District Quince Dining Room · Vienna,mediterranean,4.1,4,47,0,0,1,1,Museum District
R0010101,Vienna,Austria,Urban Stone & Coriander Dining Room · Vienna,vegan,3.4,1,27,1,1,0,1,Business District
R0010102,Vienna,Austria,Vine House by Urban · Vienna,street_food,4.5,2,43,1,1,0,1,Old Town
R0010103,Vienna,Austria,Urban Yard Kitchen & Bar · Vienna,fine_dining,3.8,3,36,0,0,1,0,Market District
R0010104,Vienna,Austria,Fennel & Coriander · Vienna,bakery,4.9,4,52,1,0,1,1,East Side
R0010105,Vienna,Austria,The Clove Kitchen & Bar · Vienna,cafe,4.2,1,32,1,1,0,1,Station Quarter
R0010106,Vienna,Austria,Harbour Cinnamon Kitchen & Bar · Vienna,seafood,3.5,2,48,0,1,0,1,Harbour
R0010107,Vienna,Austria,Neighbourhood Barley & Coriander Kitchen & Bar · Vienna,middle_eastern,4.6,3,41,1,0,1,1,Riverside
R0010108,Vienna,Austria,Honey House by Neighbourhood · Vienna,indian,3.9,4,57,1,0,1,0,Parkside
R0010109,Vienna,Austria,Neighbourhood Maple Kitchen & Bar · Vienna,local,3.2,1,37,0,1,0,1,Centre
R0010110,Vienna,Austria,Sage & Coriander · Vienna,italian,4.3,2,30,1,1,0,1,University District
R0010111,Vienna,Austria,The Apron Kitchen & Bar · Vienna,asian,3.6,3,46,1,0,1,1,West End
R0010112,Vienna,Austria,Museum District Basil Kitchen & Bar · Vienna,mediterranean,4.7,4,62,0,0,1,1,Museum District
R0010113,Vienna,Austria,Neighbourhood Bowl & Fig Kitchen & Bar · Vienna,vegan,4.0,1,19,1,1,0,0,Business District
R0010114,Vienna,Austria,Brick House by Neighbourhood · Vienna,street_food,3.3,2,35,1,1,0,1,Old Town
R0010115,Vienna,Austria,Neighbourhood Canteen Kitchen & Bar · Vienna,fine_dining,4.4,3,51,0,0,1,1,Market District
R0010116,Vienna,Austria,Caraway & Fig · Vienna,bakery,3.7,4,44,1,0,1,1,East Side
R0010117,Vienna,Austria,The Cedar Kitchen & Bar · Vienna,cafe,4.8,1,24,1,1,0,1,Station Quarter
R0010118,Vienna,Austria,Harbour Copper Kitchen & Bar · Vienna,seafood,4.1,2,40,0,1,0,0,Harbour
R0010119,Vienna,Austria,Riverside Coriander & Fig Kitchen & Bar · Vienna,middle_eastern,3.4,3,56,1,0,1,1,Riverside
R0010120,Vienna,Austria,Fig House by Riverside · Vienna,indian,4.5,4,49,1,0,1,1,Parkside
R0010121,Vienna,Austria,Riverside Fork Cantina · Vienna,local,3.8,1,29,0,1,0,1,Centre
R0010122,Vienna,Austria,Garden & Fig · Vienna,italian,4.9,2,45,1,1,0,1,University District
R0010123,Vienna,Austria,The Grain Cantina · Vienna,asian,4.2,3,38,1,0,1,0,West End
R0010124,Vienna,Austria,Museum District Hearth Cantina · Vienna,mediterranean,3.5,4,54,0,0,1,1,Museum District
R0010125,Vienna,Austria,Riverside Juniper & Fig Cantina · Vienna,vegan,4.6,1,34,1,1,0,1,Business District
R0010126,Vienna,Austria,Ladle House by Riverside · Vienna,street_food,3.9,2,27,1,1,0,1,Old Town
R0010127,Vienna,Austria,Riverside Lemon Cantina · Vienna,fine_dining,3.2,3,43,0,0,1,1,Market District
R0010128,Vienna,Austria,Market & Fig · Vienna,bakery,4.3,4,59,1,0,1,0,East Side
R0010129,Vienna,Austria,The Mint Cantina · Vienna,cafe,3.6,1,39,1,1,0,1,Station Quarter
R0010130,Vienna,Austria,Harbour Olive Cantina · Vienna,seafood,4.7,2,32,0,1,0,1,Harbour
R0010131,Vienna,Austria,Corner Orchard & Fig Cantina · Vienna,middle_eastern,4.0,3,48,1,0,1,1,Riverside
R0010132,Vienna,Austria,Oven House by Corner · Vienna,indian,3.3,4,64,1,0,1,1,Parkside
R0010133,Vienna,Austria,Corner Pantry Cantina · Vienna,local,4.4,1,21,0,1,0,0,Centre
R0010134,Vienna,Austria,Pepper & Fig · Vienna,italian,3.7,2,37,1,1,0,1,University District
R0010135,Vienna,Austria,The Plate Cantina · Vienna,asian,4.8,3,53,1,0,1,1,West End
R0010136,Vienna,Austria,Museum District Rosemary Cantina · Vienna,mediterranean,4.1,4,46,0,0,1,1,Museum District
R0010137,Vienna,Austria,Corner Saffron & Fig Trattoria · Vienna,vegan,3.4,1,26,1,1,0,1,Business District
R0010138,Vienna,Austria,Salt House by Corner · Vienna,street_food,4.5,2,42,1,1,0,0,Old Town
R0010139,Vienna,Austria,Corner Skillet Trattoria · Vienna,fine_dining,3.8,3,35,0,0,1,1,Market District
R0010140,Vienna,Austria,Spoon & Fig · Vienna,bakery,4.9,4,51,1,0,1,1,East Side
R0010141,Vienna,Austria,The Table Trattoria · Vienna,cafe,4.2,1,31,1,1,0,1,Station Quarter
R0010142,Vienna,Austria,Harbour Thyme Trattoria · Vienna,seafood,3.5,2,47,0,1,0,1,Harbour
R0010143,Vienna,Austria,Corner Walnut & Fig Trattoria · Vienna,middle_eastern,4.6,3,40,1,0,1,0,Riverside
R0010144,Vienna,Austria,Willow House by Daily · Vienna,indian,3.9,4,56,1,0,1,1,Parkside
R0010145,Vienna,Austria,Daily Ember Trattoria · Vienna,local,3.2,1,36,0,1,0,1,Centre
R0010146,Vienna,Austria,Flour & Fig · Vienna,italian,4.3,2,29,1,1,0,1,University District
R0010147,Vienna,Austria,The Kettle Trattoria · Vienna,asian,3.6,3,45,1,0,1,1,West End
R0010148,Vienna,Austria,Museum District Lantern Trattoria · Vienna,mediterranean,4.7,4,61,0,0,1,0,Museum District
R0010149,Vienna,Austria,Daily Mill & Fig Trattoria · Vienna,vegan,4.0,1,18,1,1,0,1,Business District
R0010150,Vienna,Austria,Mosaic House by Daily · Vienna,street_food,3.3,2,34,1,1,0,1,Old Town
R0010151,Vienna,Austria,Daily Nook Trattoria · Vienna,fine_dining,4.4,3,50,0,0,1,1,Market District
R0010152,Vienna,Austria,Oak & Fig · Vienna,bakery,3.7,4,66,1,0,1,1,East Side
R0010153,Vienna,Austria,The Pear Trattoria · Vienna,cafe,4.8,1,23,1,1,0,0,Station Quarter
R0010154,Vienna,Austria,Harbour Poppy Grill · Vienna,seafood,4.1,2,39,0,1,0,1,Harbour
R0010155,Vienna,Austria,Daily Quince & Fig Grill · Vienna,middle_eastern,3.4,3,55,1,0,1,1,Riverside
R0010156,Vienna,Austria,Stone House by Daily · Vienna,indian,4.5,4,48,1,0,1,1,Parkside
R0010157,Vienna,Austria,Shared Vine Grill · Vienna,local,3.8,1,28,0,1,0,1,Centre
R0010158,Vienna,Austria,Yard & Fig · Vienna,italian,4.9,2,44,1,1,0,0,University District
R0010159,Vienna,Austria,The Fennel Grill · Vienna,asian,4.2,3,37,1,0,1,1,West End
R0010160,Vienna,Austria,Museum District Clove Grill · Vienna,mediterranean,3.5,4,53,0,0,1,1,Museum District
R0010161,Vienna,Austria,Shared Cinnamon & Fig Grill · Vienna,vegan,4.6,1,33,1,1,0,1,Business District
R0010162,Vienna,Austria,Barley House by Shared · Vienna,street_food,3.9,2,26,1,1,0,1,Old Town
R0010163,Vienna,Austria,Shared Honey Grill · Vienna,fine_dining,3.2,3,42,0,0,1,0,Market District
R0010164,Vienna,Austria,Maple & Fig · Vienna,bakery,4.3,4,58,1,0,1,1,East Side
R0010165,Vienna,Austria,The Sage Grill · Vienna,cafe,3.6,1,38,1,1,0,1,Station Quarter
R0010166,Vienna,Austria,Harbour Apron Grill · Vienna,seafood,4.7,2,31,0,1,0,1,Harbour
R0010167,Vienna,Austria,Shared Basil & Fork Grill · Vienna,middle_eastern,4.0,3,47,1,0,1,1,Riverside
R0010168,Vienna,Austria,Bowl House by Shared · Vienna,indian,3.3,4,63,1,0,1,0,Parkside
R0010169,Vienna,Austria,Shared Brick Grill · Vienna,local,4.4,1,20,0,1,0,1,Centre
R0010170,Vienna,Austria,Canteen & Fork · Vienna,italian,3.7,2,36,1,1,0,1,University District
R0010171,Vienna,Austria,The Caraway Deli · Vienna,asian,4.8,3,52,1,0,1,1,West End
R0010172,Vienna,Austria,Museum District Cedar Deli · Vienna,mediterranean,4.1,4,45,0,0,1,1,Museum District
R0010173,Vienna,Austria,Open Copper & Fork Deli · Vienna,vegan,3.4,1,25,1,1,0,0,Business District
R0010174,Vienna,Austria,Coriander House by Open · Vienna,street_food,4.5,2,41,1,1,0,1,Old Town
R0010175,Vienna,Austria,Open Fig Deli · Vienna,fine_dining,3.8,3,57,0,0,1,1,Market District
R0010176,Vienna,Austria,Fork & Fork · Vienna,bakery,4.9,4,50,1,0,1,1,East Side
R0010177,Vienna,Austria,The Garden Deli · Vienna,cafe,4.2,1,30,1,1,0,1,Station Quarter
R0010178,Vienna,Austria,Harbour Grain Deli · Vienna,seafood,3.5,2,46,0,1,0,0,Harbour
R0010179,Vienna,Austria,Open Hearth & Fork Deli · Vienna,middle_eastern,4.6,3,39,1,0,1,1,Riverside
R0010180,Vienna,Austria,Juniper House by Open · Vienna,indian,3.9,4,55,1,0,1,1,Parkside
R0010181,Vienna,Austria,Open Ladle Deli · Vienna,local,3.2,1,35,0,1,0,1,Centre
R0010182,Vienna,Austria,Lemon & Fork · Vienna,italian,4.3,2,28,1,1,0,1,University District
R0010183,Vienna,Austria,The Market Deli · Vienna,asian,3.6,3,44,1,0,1,0,West End
R0010184,Vienna,Austria,Museum District Mint Deli · Vienna,mediterranean,4.7,4,60,0,0,1,1,Museum District
R0010185,Vienna,Austria,Honest Olive & Fork Deli · Vienna,vegan,4.0,1,17,1,1,0,1,Business District
R0010186,Vienna,Austria,Orchard House by Honest · Vienna,street_food,3.3,2,33,1,1,0,1,Old Town
R0010187,Vienna,Austria,Honest Oven Deli · Vienna,fine_dining,4.4,3,49,0,0,1,1,Market District
R0010188,Vienna,Austria,Pantry & Fork · Vienna,bakery,3.7,4,65,1,0,1,0,East Side
R0010189,Vienna,Austria,The Pepper Noodle House · Vienna,cafe,4.8,1,22,1,1,0,1,Station Quarter
R0010190,Vienna,Austria,Harbour Plate Noodle House · Vienna,seafood,4.1,2,38,0,1,0,1,Harbour
R0010191,Vienna,Austria,Honest Rosemary & Fork Noodle House · Vienna,middle_eastern,3.4,3,54,1,0,1,1,Riverside
R0010192,Vienna,Austria,Saffron House by Honest · Vienna,indian,4.5,4,47,1,0,1,1,Parkside
R0010193,Vienna,Austria,Honest Salt Noodle House · Vienna,local,3.8,1,27,0,1,0,0,Centre
R0010194,Vienna,Austria,Skillet & Fork · Vienna,italian,4.9,2,43,1,1,0,1,University District
R0010195,Vienna,Austria,The Spoon Noodle House · Vienna,asian,4.2,3,36,1,0,1,1,West End
R0010196,Vienna,Austria,Museum District Table Noodle House · Vienna,mediterranean,3.5,4,52,0,0,1,1,Museum District
R0010197,Vienna,Austria,Slow Thyme & Fork Noodle House · Vienna,vegan,4.6,1,32,1,1,0,1,Business District
R0010198,Vienna,Austria,Walnut House by Slow · Vienna,street_food,3.9,2,48,1,1,0,0,Old Town
R0010199,Vienna,Austria,Slow Willow Noodle House · Vienna,fine_dining,3.2,3,41,0,0,1,1,Market District
R0010200,Vienna,Austria,Ember & Fork · Vienna,bakery,4.3,4,57,1,0,1,1,East Side
R0010201,Vienna,Austria,The Flour Noodle House · Vienna,cafe,3.6,1,37,1,1,0,1,Station Quarter
R0010202,Vienna,Austria,Harbour Kettle Noodle House · Vienna,seafood,4.7,2,30,0,1,0,1,Harbour
R0010203,Vienna,Austria,Slow Lantern & Fork Noodle House · Vienna,middle_eastern,4.0,3,46,1,0,1,0,Riverside
R0010204,Vienna,Austria,Mill House by Slow · Vienna,indian,3.3,4,62,1,0,1,1,Parkside
R0010205,Vienna,Austria,Slow Mosaic Tavern · Vienna,local,4.4,1,19,0,1,0,1,Centre
R0010206,Vienna,Austria,Nook & Fork · Vienna,italian,3.7,2,35,1,1,0,1,University District
R0010207,Vienna,Austria,The Oak Tavern · Vienna,asian,4.8,3,51,1,0,1,1,West End
R0010208,Vienna,Austria,Museum District Pear Tavern · Vienna,mediterranean,4.1,4,44,0,0,1,0,Museum District
R0010209,Vienna,Austria,Bright Poppy & Fork Tavern · Vienna,vegan,3.4,1,24,1,1,0,1,Business District
R0010210,Vienna,Austria,Quince House by Bright · Vienna,street_food,4.5,2,40,1,1,0,1,Old Town
R0010211,Vienna,Austria,Bright Stone Tavern · Vienna,fine_dining,3.8,3,56,0,0,1,1,Market District
R0010212,Vienna,Austria,Vine & Fork · Vienna,bakery,4.9,4,49,1,0,1,1,East Side
R0010213,Vienna,Austria,The Yard Tavern · Vienna,cafe,4.2,1,29,1,1,0,0,Station Quarter
R0010214,Vienna,Austria,Harbour Fennel Tavern · Vienna,seafood,3.5,2,45,0,1,0,1,Harbour
R0010215,Vienna,Austria,Bright Clove & Fork Tavern · Vienna,middle_eastern,4.6,3,38,1,0,1,1,Riverside
R0010216,Vienna,Austria,Cinnamon House by Bright · Vienna,indian,3.9,4,54,1,0,1,1,Parkside
R0010217,Vienna,Austria,Bright Barley Tavern · Vienna,local,3.2,1,34,0,1,0,1,Centre
R0010218,Vienna,Austria,Honey & Fork · Vienna,italian,4.3,2,27,1,1,0,0,University District
R0010219,Vienna,Austria,The Maple Tavern · Vienna,asian,3.6,3,43,1,0,1,1,West End
R0010220,Vienna,Austria,Museum District Sage Tavern · Vienna,mediterranean,4.7,4,59,0,0,1,1,Museum District
R0010221,Vienna,Austria,Bright Apron & Garden Tavern · Vienna,vegan,4.0,1,39,1,1,0,1,Business District
R0010222,Vienna,Austria,Basil House by Red · Vienna,street_food,3.3,2,32,1,1,0,1,Old Town
R0010223,Vienna,Austria,Red Bowl Bakery · Vienna,fine_dining,4.4,3,48,0,0,1,0,Market District
R0010224,Vienna,Austria,Brick & Garden · Vienna,bakery,3.7,4,64,1,0,1,1,East Side
R0010225,Vienna,Austria,The Canteen Bakery · Vienna,cafe,4.8,1,21,1,1,0,1,Station Quarter
R0010226,Vienna,Austria,Harbour Caraway Bakery · Vienna,seafood,4.1,2,37,0,1,0,1,Harbour
R0010227,Vienna,Austria,Red Cedar & Garden Bakery · Vienna,middle_eastern,3.4,3,53,1,0,1,1,Riverside
R0010228,Vienna,Austria,Copper House by Red · Vienna,indian,4.5,4,46,1,0,1,0,Parkside
R0010229,Vienna,Austria,Red Coriander Bakery · Vienna,local,3.8,1,26,0,1,0,1,Centre
R0010230,Vienna,Austria,Fig & Garden · Vienna,italian,4.9,2,42,1,1,0,1,University District
R0010231,Vienna,Austria,The Fork Bakery · Vienna,asian,4.2,3,35,1,0,1,1,West End
R0010232,Vienna,Austria,Museum District Garden Bakery · Vienna,mediterranean,3.5,4,51,0,0,1,1,Museum District
R0010233,Vienna,Austria,Red Grain & Garden Bakery · Vienna,vegan,4.6,1,31,1,1,0,0,Business District
R0010234,Vienna,Austria,Hearth House by Red · Vienna,street_food,3.9,2,47,1,1,0,1,Old Town
R0010235,Vienna,Austria,Blue Juniper Bakery · Vienna,fine_dining,3.2,3,40,0,0,1,1,Market District
R0010236,Vienna,Austria,Ladle & Garden · Vienna,bakery,4.3,4,56,1,0,1,1,East Side
R0010237,Vienna,Austria,The Lemon Bakery · Vienna,cafe,3.6,1,36,1,1,0,1,Station Quarter
R0010238,Vienna,Austria,Harbour Market Bakery · Vienna,seafood,4.7,2,29,0,1,0,0,Harbour
R0010239,Vienna,Austria,Blue Mint & Garden Supper Club · Vienna,middle_eastern,4.0,3,45,1,0,1,1,Riverside
R0010240,Vienna,Austria,Olive House by Blue · Vienna,indian,3.3,4,61,1,0,1,1,Parkside
R0010241,Vienna,Austria,Blue Orchard Supper Club · Vienna,local,4.4,1,18,0,1,0,1,Centre
R0010242,Vienna,Austria,Oven & Garden · Vienna,italian,3.7,2,34,1,1,0,1,University District
R0010243,Vienna,Austria,The Pantry Supper Club · Vienna,asian,4.8,3,50,1,0,1,0,West End
R0010244,Vienna,Austria,Museum District Pepper Supper Club · Vienna,mediterranean,4.1,4,66,0,0,1,1,Museum District
R0010245,Vienna,Austria,Blue Plate & Garden Supper Club · Vienna,vegan,3.4,1,23,1,1,0,1,Business District
R0010246,Vienna,Austria,Rosemary House by Blue · Vienna,street_food,4.5,2,39,1,1,0,1,Old Town
R0010247,Vienna,Austria,Blue Saffron Supper Club · Vienna,fine_dining,3.8,3,55,0,0,1,1,Market District
R0010248,Vienna,Austria,Salt & Garden · Vienna,bakery,4.9,4,48,1,0,1,0,East Side
R0010249,Vienna,Austria,The Skillet Supper Club · Vienna,cafe,4.2,1,28,1,1,0,1,Station Quarter
R0010250,Vienna,Austria,Harbour Spoon Supper Club · Vienna,seafood,3.5,2,44,0,1,0,1,Harbour
R0010251,Vienna,Austria,North Table & Garden Supper Club · Vienna,middle_eastern,4.6,3,37,1,0,1,1,Riverside
R0010252,Vienna,Austria,Thyme House by North · Vienna,indian,3.9,4,53,1,0,1,1,Parkside
