hotel_id,city,country,name,area,stars,rating,nightly_eur,review_count,breakfast_included,refundable,distance_to_center_km,wifi,workspace,family_rooms,air_conditioning,parking,pet_friendly,accessible
H0010016,Vienna,Austria,The Juniper Courtyard Hotel · Vienna,Harbour,1,3.4,111,2080,0,1,1.6,1,0,1,1,0,0,1
H0010017,Vienna,Austria,Lantern & Courtyard Hotel · Vienna,Centre,2,4.2,142,2217,1,0,3.3,1,1,0,0,0,0,1
H0010018,Vienna,Austria,Courtyard Hotel by Laurel · Vienna,Museum District,3,3.8,162,2354,1,1,5.0,1,0,0,1,0,0,1
H0010019,Vienna,Austria,Linden Market District Hotel · Vienna,Market District,4,4.0,237,2491,0,0,6.7,1,1,0,1,1,0,1
H0010020,Vienna,Austria,Harbour Marble Courtyard · Vienna,Harbour,5,4.5,177,2628,1,1,8.4,1,0,0,1,1,0,0
H0010021,Vienna,Austria,The Meadow Courtyard Hotel · Vienna,Centre,1,3.8,177,2765,1,0,10.1,1,1,1,0,0,0,1
H0010022,Vienna,Austria,Meridian & Courtyard Hotel · Vienna,Museum District,2,3.8,114,2902,0,1,11.8,1,0,0,1,0,1,1
H0010023,Vienna,Austria,Courtyard Hotel by Moonlight · Vienna,Market District,3,4.4,162,3039,1,0,1.5,1,1,0,1,0,0,1
H0010024,Vienna,Austria,Northlight Harbour Hotel · Vienna,Harbour,4,4.0,166,3176,1,1,3.2,1,0,0,1,0,0,1
H0010025,Vienna,Austria,Centre Olive Courtyard · Vienna,Centre,5,4.8,223,3313,0,0,4.9,1,1,0,0,1,0,1
H0010026,Vienna,Austria,The Orchid Courtyard Hotel · Vienna,Museum District,1,3.9,130,3450,1,1,6.6,1,0,1,1,1,0,1
H0010027,Vienna,Austria,Pearl & Courtyard Hotel · Vienna,Market District,2,3.9,189,3587,1,0,8.3,1,1,0,1,0,0,1
H0010028,Vienna,Austria,Courtyard Hotel by Pine · Vienna,Harbour,3,3.8,198,3724,0,1,10.0,1,0,0,1,0,0,0
H0010029,Vienna,Austria,Raven Centre Hotel · Vienna,Centre,4,4.1,166,3861,1,0,11.7,1,1,0,0,0,1,1
H0010030,Vienna,Austria,Museum District Rosewood Courtyard · Vienna,Museum District,5,4.9,253,3998,1,1,1.4,1,0,0,1,0,0,1
H0010031,Vienna,Austria,The Saffron Courtyard Hotel · Vienna,Market District,1,3.4,96,4135,0,0,3.1,1,1,1,1,1,0,1
H0010032,Vienna,Austria,Silver & Courtyard Hotel · Vienna,Harbour,2,3.8,157,4272,1,1,4.8,1,0,0,1,1,0,1
H0010033,Vienna,Austria,Courtyard Hotel by Solstice · Vienna,Centre,3,4.2,160,4409,1,0,6.5,1,1,0,0,0,0,1
H0010034,Vienna,Austria,Stone Museum District Hotel · Vienna,Museum District,4,4.1,174,4546,0,1,8.2,1,0,0,1,0,0,1
H0010035,Vienna,Austria,Market District Sunrise Courtyard · Vienna,Market District,5,4.4,178,4683,1,0,9.9,1,1,0,1,0,0,1
H0010036,Vienna,Austria,The Terrace Courtyard Hotel · Vienna,Harbour,1,3.8,171,4820,1,1,11.6,1,0,1,1,0,1,0
H0010037,Vienna,Austria,Velvet & Courtyard Hotel · Vienna,Centre,2,4.0,176,4957,0,0,1.3,1,1,0,0,1,0,1
H0010038,Vienna,Austria,Courtyard Hotel by Willow · Vienna,Museum District,3,4.2,182,5094,1,1,3.0,1,0,0,1,1,0,1
H0010039,Vienna,Austria,Wren Market District Hotel · Vienna,Market District,4,4.5,149,5231,1,0,4.7,1,1,0,1,0,0,1
H0010040,Vienna,Austria,Harbour Arcade Courtyard · Vienna,Harbour,5,4.5,178,5368,0,1,6.4,1,0,0,1,0,0,1
H0010041,Vienna,Austria,The Belvedere Courtyard Hotel · Vienna,Centre,1,4.0,165,5505,1,0,8.1,1,1,1,0,0,0,1
H0010042,Vienna,Austria,Canvas & Courtyard Hotel · Vienna,Museum District,2,4.0,127,5642,1,1,9.8,1,0,0,1,0,0,1
H0010043,Vienna,Austria,Courtyard Hotel by Courtyard · Vienna,Market District,3,4.2,221,5779,0,0,11.5,1,1,0,1,1,1,1
H0010044,Vienna,Austria,Foundry Harbour Hotel · Vienna,Harbour,4,4.5,136,5916,1,1,1.2,1,0,0,1,1,0,0
H0010045,Vienna,Austria,Centre Gallery Courtyard · Vienna,Centre,5,4.4,148,6053,1,0,2.9,1,1,0,0,0,0,1
H0010046,Vienna,Austria,The Hearth Courtyard Hotel · Vienna,Museum District,1,3.8,135,6190,0,1,4.6,1,0,1,1,0,0,1
H0010047,Vienna,Austria,Mosaic & Courtyard Hotel · Vienna,Market District,2,3.7,126,6327,1,0,6.3,1,1,0,1,0,0,1
H0010048,Vienna,Austria,Courtyard Hotel by Pavilion · Vienna,Harbour,3,4.4,186,6464,1,1,8.0,1,0,0,1,0,0,1
H0010049,Vienna,Austria,Quayside Centre Hotel · Vienna,Centre,4,4.6,169,6601,0,0,9.7,1,1,0,0,1,0,1
H0010050,Vienna,Austria,Museum District Regent Courtyard · Vienna,Museum District,5,4.4,207,6738,1,1,11.4,1,0,0,1,1,1,1
H0010051,Vienna,Austria,The Riverview Courtyard Hotel · Vienna,Market District,1,3.5,201,6875,1,0,1.1,1,1,1,1,0,0,1
H0010052,Vienna,Austria,Vantage & Courtyard Hotel · Vienna,Harbour,2,4.0,117,7012,0,1,2.8,1,0,0,1,0,0,0
H0010053,Vienna,Austria,Courtyard Hotel by Voyager · Vienna,Centre,3,3.9,145,7149,1,0,4.5,1,1,0,0,0,0,1
H0010054,Vienna,Austria,Amber Museum District Hotel · Vienna,Museum District,4,4.5,197,7286,1,1,6.2,1,0,0,1,0,0,1
H0010055,Vienna,Austria,Market District Atlas Lantern · Vienna,Market District,5,4.4,218,7423,0,0,7.9,1,1,0,1,1,0,1
H0010056,Vienna,Austria,The Aurora Lantern Hotel · Vienna,Harbour,1,3.6,158,7560,1,1,9.6,1,0,1,1,1,0,1
H0010057,Vienna,Austria,Bluebird & Lantern Hotel · Vienna,Centre,2,3.8,127,7697,1,0,11.3,1,1,0,0,0,1,1
H0010058,Vienna,Austria,Lantern Hotel by Canopy · Vienna,Museum District,3,4.5,131,7834,0,1,1.0,1,0,0,1,0,0,1
H0010059,Vienna,Austria,Cedar Market District Hotel · Vienna,Market District,4,4.3,140,7971,1,0,2.7,1,1,0,1,0,0,1
H0010060,Vienna,Austria,Harbour Copper Lantern · Vienna,Harbour,5,4.8,254,8108,1,1,4.4,1,0,0,1,0,0,0
H0010061,Vienna,Austria,The Crown Lantern Hotel · Vienna,Centre,1,3.3,164,8245,0,0,6.1,1,1,1,0,1,0,1
H0010062,Vienna,Austria,Dawn & Lantern Hotel · Vienna,Museum District,2,3.6,186,8382,1,1,7.8,1,0,0,1,1,0,1
H0010063,Vienna,Austria,Lantern Hotel by Ember · Vienna,Market District,3,4.0,122,8519,1,0,9.5,1,1,0,1,0,0,1
H0010064,Vienna,Austria,Evergreen Harbour Hotel · Vienna,Harbour,4,4.2,205,8656,0,1,11.2,1,0,0,1,0,1,1
H0010065,Vienna,Austria,Centre Fern Lantern · Vienna,Centre,5,4.9,211,8793,1,0,0.9,1,1,0,0,0,0,1
H0010066,Vienna,Austria,The Golden Lantern Hotel · Vienna,Museum District,1,3.4,154,8930,1,1,2.6,1,0,1,1,0,0,1
H0010067,Vienna,Austria,Harbour & Lantern Hotel · Vienna,Market District,2,4.1,100,9067,0,0,4.3,1,1,0,1,1,0,1
H0010068,Vienna,Austria,Lantern Hotel by Ivory · Vienna,Harbour,3,4.2,128,9204,1,1,6.0,1,0,0,1,1,0,0
H0010069,Vienna,Austria,Juniper Centre Hotel · Vienna,Centre,4,4.5,197,9341,1,0,7.7,1,1,0,0,0,0,1
H0010070,Vienna,Austria,Museum District Lantern Lantern · Vienna,Museum District,5,4.8,242,9478,0,1,9.4,1,0,0,1,0,0,1
H0010071,Vienna,Austria,The Laurel Lantern Hotel · Vienna,Market District,1,3.7,98,115,1,0,11.1,1,1,1,1,0,1,1
H0010072,Vienna,Austria,Linden & Lantern Hotel · Vienna,Harbour,2,3.7,119,252,1,1,0.8,1,0,0,1,0,0,1
H0010073,Vienna,Austria,Lantern Hotel by Marble · Vienna,Centre,3,4.1,206,389,0,0,2.5,1,1,0,0,1,0,1
H0010074,Vienna,Austria,Meadow Museum District Hotel · Vienna,Museum District,4,4.6,162,526,1,1,4.2,1,0,0,1,1,0,1
H0010075,Vienna,Austria,Market District Meridian Lantern · Vienna,Market District,5,4.9,241,663,1,0,5.9,1,1,0,1,0,0,1
H0010076,Vienna,Austria,The Moonlight Lantern Hotel · Vienna,Harbour,1,3.4,200,800,0,1,7.6,1,0,1,1,0,0,0
H0010077,Vienna,Austria,Northlight & Lantern Hotel · Vienna,Centre,2,3.6,179,937,1,0,9.3,1,1,0,0,0,0,1
H0010078,Vienna,Austria,Lantern Hotel by Olive · Vienna,Museum District,3,3.9,195,1074,1,1,11.0,1,0,0,1,0,1,1
H0010079,Vienna,Austria,Orchid Market District Hotel · Vienna,Market District,4,4.3,154,1211,0,0,0.7,1,1,0,1,1,0,1
H0010080,Vienna,Austria,Harbour Pearl Lantern · Vienna,Harbour,5,4.3,241,1348,1,1,2.4,1,0,0,1,1,0,1
H0010081,Vienna,Austria,The Pine Lantern Hotel · Vienna,Centre,1,3.4,183,1485,1,0,4.1,1,1,1,0,0,0,1
H0010082,Vienna,Austria,Raven & Lantern Hotel · Vienna,Museum District,2,4.2,216,1622,0,1,5.8,1,0,0,1,0,0,1
H0010083,Vienna,Austria,Lantern Hotel by Rosewood · Vienna,Market District,3,3.7,155,1759,1,0,7.5,1,1,0,1,0,0,1
H0010084,Vienna,Austria,Saffron Harbour Hotel · Vienna,Harbour,4,4.3,143,1896,1,1,9.2,1,0,0,1,0,0,0
H0010085,Vienna,Austria,Centre Silver Lantern · Vienna,Centre,5,4.9,256,2033,0,0,10.9,1,1,0,0,1,1,1
H0010086,Vienna,Austria,The Solstice Lantern Hotel · Vienna,Museum District,1,4.0,187,2170,1,1,0.6,1,0,1,1,1,0,1
H0010087,Vienna,Austria,Stone & Lantern Hotel · Vienna,Market District,2,3.7,106,2307,1,0,2.3,1,1,0,1,0,0,1
H0010088,Vienna,Austria,Lantern Hotel by Sunrise · Vienna,Harbour,3,3.9,186,2444,0,1,4.0,1,0,0,1,0,0,1
H0010089,Vienna,Austria,Terrace Centre Hotel · Vienna,Centre,4,4.7,139,2581,1,0,5.7,1,1,0,0,0,0,1
H0010090,Vienna,Austria,Museum District Velvet Lantern · Vienna,Museum District,5,4.7,248,2718,1,1,7.4,1,0,0,1,0,0,1
H0010091,Vienna,Austria,The Willow Lantern Hotel · Vienna,Market District,1,3.3,181,2855,0,0,9.1,1,1,1,1,1,0,1
H0010092,Vienna,Austria,Wren & Lantern Hotel · Vienna,Harbour,2,3.9,115,2992,1,1,10.8,1,0,0,1,1,1,0
H0010093,Vienna,Austria,Lantern Hotel by Arcade · Vienna,Centre,3,3.8,174,3129,1,0,0.5,1,1,0,0,0,0,1
H0010094,Vienna,Austria,Belvedere Museum District Hotel · Vienna,Museum District,4,4.7,150,3266,0,1,2.2,1,0,0,1,0,0,1
H0010095,Vienna,Austria,Market District Canvas Lantern · Vienna,Market District,5,4.4,255,3403,1,0,3.9,1,1,0,1,0,0,1
H0010096,Vienna,Austria,The Courtyard Lantern Hotel · Vienna,Harbour,1,3.7,111,3540,1,1,5.6,1,0,1,1,0,0,1
H0010097,Vienna,Austria,Foundry & Lantern Hotel · Vienna,Centre,2,4.2,195,3677,0,0,7.3,1,1,0,0,1,0,1
H0010098,Vienna,Austria,Lantern Hotel by Gallery · Vienna,Museum District,3,4.3,139,3814,1,1,9.0,1,0,0,1,1,0,1
H0010099,Vienna,Austria,Hearth Market District Hotel · Vienna,Market District,4,4.5,180,3951,1,0,10.7,1,1,0,1,0,1,1
H0010100,Vienna,Austria,Harbour Mosaic Lantern · Vienna,Harbour,5,4.9,227,4088,0,1,0.4,1,0,0,1,0,0,0
H0010101,Vienna,Austria,The Pavilion Lantern Hotel · Vienna,Centre,1,3.5,199,4225,1,0,2.1,1,1,1,0,0,0,1
H0010102,Vienna,Austria,Quayside & Lantern Hotel · Vienna,Museum District,2,3.9,114,4362,1,1,3.8,1,0,0,1,0,0,1
H0010103,Vienna,Austria,Lantern Hotel by Regent · Vienna,Market District,3,3.9,122,4499,0,0,5.5,1,1,0,1,1,0,1
H0010104,Vienna,Austria,Riverview Harbour Hotel · Vienna,Harbour,4,4.2,204,4636,1,1,7.2,1,0,0,1,1,0,1
H0010105,Vienna,Austria,Centre Vantage Lantern · Vienna,Centre,5,4.6,219,4773,1,0,8.9,1,1,0,0,0,0,1
H0010106,Vienna,Austria,The Voyager Lantern Hotel · Vienna,Museum District,1,3.4,93,4910,0,1,10.6,1,0,1,1,0,1,1
H0010107,Vienna,Austria,Amber & Compass Hotel · Vienna,Market District,2,4.0,106,5047,1,0,0.3,1,1,0,1,0,0,1
H0010108,Vienna,Austria,Compass Hotel by Atlas · Vienna,Harbour,3,3.9,229,5184,1,1,2.0,1,0,0,1,0,0,0
H0010109,Vienna,Austria,Aurora Centre Hotel · Vienna,Centre,4,4.0,171,5321,0,0,3.7,1,1,0,0,1,0,1
H0010110,Vienna,Austria,Museum District Bluebird Compass · Vienna,Museum District,5,4.3,174,5458,1,1,5.4,1,0,0,1,1,0,1
H0010111,Vienna,Austria,The Canopy Compass Hotel · Vienna,Market District,1,3.4,146,5595,1,0,7.1,1,1,1,1,0,0,1
H0010112,Vienna,Austria,Cedar & Compass Hotel · Vienna,Harbour,2,3.6,115,5732,0,1,8.8,1,0,0,1,0,0,1
H0010113,Vienna,Austria,Compass Hotel by Copper · Vienna,Centre,3,4.3,226,5869,1,0,10.5,1,1,0,0,0,1,1
H0010114,Vienna,Austria,Crown Museum District Hotel · Vienna,Museum District,4,4.4,189,6006,1,1,0.2,1,0,0,1,0,0,1
H0010115,Vienna,Austria,Market District Dawn Compass · Vienna,Market District,5,4.4,204,6143,0,0,1.9,1,1,0,1,1,0,1
H0010116,Vienna,Austria,The Ember Compass Hotel · Vienna,Harbour,1,3.8,108,6280,1,1,3.6,1,0,1,1,1,0,0
H0010117,Vienna,Austria,Evergreen & Compass Hotel · Vienna,Centre,2,3.6,183,6417,1,0,5.3,1,1,0,0,0,0,1
H0010118,Vienna,Austria,Compass Hotel by Fern · Vienna,Museum District,3,4.0,168,6554,0,1,7.0,1,0,0,1,0,0,1
H0010119,Vienna,Austria,Golden Market District Hotel · Vienna,Market District,4,4.3,239,6691,1,0,8.7,1,1,0,1,0,0,1
H0010120,Vienna,Austria,Harbour Harbour Compass · Vienna,Harbour,5,4.7,230,6828,1,1,10.4,1,0,0,1,0,1,1
H0010121,Vienna,Austria,The Ivory Compass Hotel · Vienna,Centre,1,3.7,166,6965,0,0,0.1,1,1,1,0,1,0,1
H0010122,Vienna,Austria,Juniper & Compass Hotel · Vienna,Museum District,2,3.6,150,7102,1,1,1.8,1,0,0,1,1,0,1
H0010123,Vienna,Austria,Compass Hotel by Lantern · Vienna,Market District,3,4.3,216,7239,1,0,3.5,1,1,0,1,0,0,1
H0010124,Vienna,Austria,Laurel Harbour Hotel · Vienna,Harbour,4,4.6,160,7376,0,1,5.2,1,0,0,1,0,0,0
H0010125,Vienna,Austria,Centre Linden Compass · Vienna,Centre,5,4.3,212,7513,1,0,6.9,1,1,0,0,0,0,1
H0010126,Vienna,Austria,The Marble Compass Hotel · Vienna,Museum District,1,3.6,138,7650,1,1,8.6,1,0,1,1,0,0,1
H0010127,Vienna,Austria,Meadow & Compass Hotel · Vienna,Market District,2,3.6,158,7787,0,0,10.3,1,1,0,1,1,1,1
H0010128,Vienna,Austria,Compass Hotel by Meridian · Vienna,Harbour,3,3.9,232,7924,1,1,12.0,1,0,0,1,1,0,1
H0010129,Vienna,Austria,Moonlight Centre Hotel · Vienna,Centre,4,4.0,232,8061,1,0,1.7,1,1,0,0,0,0,1
H0010130,Vienna,Austria,Museum District Northlight Compass · Vienna,Museum District,5,4.8,214,8198,0,1,3.4,1,0,0,1,0,0,1
H0010131,Vienna,Austria,The Olive Compass Hotel · Vienna,Market District,1,3.3,167,8335,1,0,5.1,1,1,1,1,0,0,1
H0010132,Vienna,Austria,Orchid & Compass Hotel · Vienna,Harbour,2,4.2,206,8472,1,1,6.8,1,0,0,1,0,0,0
H0010133,Vienna,Austria,Compass Hotel by Pearl · Vienna,Centre,3,3.7,125,8609,0,0,8.5,1,1,0,0,1,0,1
H0010134,Vienna,Austria,Pine Museum District Hotel · Vienna,Museum District,4,4.7,237,8746,1,1,10.2,1,0,0,1,1,1,1
H0010135,Vienna,Austria,Market District Raven Compass · Vienna,Market District,5,4.4,196,8883,1,0,11.9,1,1,0,1,0,0,1
H0010136,Vienna,Austria,The Rosewood Compass Hotel · Vienna,Harbour,1,3.6,111,9020,0,1,1.6,1,0,1,1,0,0,1
H0010137,Vienna,Austria,Saffron & Compass Hotel · Vienna,Centre,2,4.1,214,9157,1,0,3.3,1,1,0,0,0,0,1
H0010138,Vienna,Austria,Compass Hotel by Silver · Vienna,Museum District,3,3.8,162,9294,1,1,5.0,1,0,0,1,0,0,1
H0010139,Vienna,Austria,Solstice Market District Hotel · Vienna,Market District,4,4.0,178,9431,0,0,6.7,1,1,0,1,1,0,1
H0010140,Vienna,Austria,Harbour Stone Compass · Vienna,Harbour,5,4.4,244,68,1,1,8.4,1,0,0,1,1,0,0
H0010141,Vienna,Austria,The Sunrise Compass Hotel · Vienna,Centre,1,3.8,120,205,1,0,10.1,1,1,1,0,0,1,1
H0010142,Vienna,Austria,Terrace & Compass Hotel · Vienna,Museum District,2,3.8,192,342,0,1,11.8,1,0,0,1,0,0,1
H0010143,Vienna,Austria,Compass Hotel by Velvet · Vienna,Market District,3,4.5,185,479,1,0,1.5,1,1,0,1,0,0,1
H0010144,Vienna,Austria,Willow Harbour Hotel · Vienna,Harbour,4,4.5,191,616,1,1,3.2,1,0,0,1,0,0,1
H0010145,Vienna,Austria,Centre Wren Compass · Vienna,Centre,5,4.3,181,753,0,0,4.9,1,1,0,0,1,0,1
H0010146,Vienna,Austria,The Arcade Compass Hotel · Vienna,Museum District,1,3.4,91,890,1,1,6.6,1,0,1,1,1,0,1
H0010147,Vienna,Austria,Belvedere & Compass Hotel · Vienna,Market District,2,3.9,168,1027,1,0,8.3,1,1,0,1,0,0,1
H0010148,Vienna,Austria,Compass Hotel by Canvas · Vienna,Harbour,3,3.8,154,1164,0,1,10.0,1,0,0,1,0,1,0
H0010149,Vienna,Austria,Courtyard Centre Hotel · Vienna,Centre,4,4.0,203,1301,1,0,11.7,1,1,0,0,0,0,1
H0010150,Vienna,Austria,Museum District Foundry Compass · Vienna,Museum District,5,4.6,261,1438,1,1,1.4,1,0,0,1,0,0,1
H0010151,Vienna,Austria,The Gallery Compass Hotel · Vienna,Market District,1,3.9,104,1575,0,0,3.1,1,1,1,1,1,0,1
H0010152,Vienna,Austria,Hearth & Compass Hotel · Vienna,Harbour,2,3.5,164,1712,1,1,4.8,1,0,0,1,1,0,1
H0010153,Vienna,Austria,Compass Hotel by Mosaic · Vienna,Centre,3,3.8,137,1849,1,0,6.5,1,1,0,0,0,0,1
H0010154,Vienna,Austria,Pavilion Museum District Hotel · Vienna,Museum District,4,4.0,137,1986,0,1,8.2,1,0,0,1,0,0,1
H0010155,Vienna,Austria,Market District Quayside Compass · Vienna,Market District,5,4.7,174,2123,1,0,9.9,1,1,0,1,0,1,1
H0010156,Vienna,Austria,The Regent Compass Hotel · Vienna,Harbour,1,3.5,204,2260,1,1,11.6,1,0,1,1,0,0,0
H0010157,Vienna,Austria,Riverview & Compass Hotel · Vienna,Centre,2,4.1,130,2397,0,0,1.3,1,1,0,0,1,0,1
H0010158,Vienna,Austria,Compass Hotel by Vantage · Vienna,Museum District,3,4.2,119,2534,1,1,3.0,1,0,0,1,1,0,1
H0010159,Vienna,Austria,Voyager Market District Hotel · Vienna,Market District,4,4.4,182,2671,1,0,4.7,1,1,0,1,0,0,1
H0010160,Vienna,Austria,Harbour Amber Bridge · Vienna,Harbour,5,4.7,216,2808,0,1,6.4,1,0,0,1,0,0,1
H0010161,Vienna,Austria,The Atlas Bridge Hotel · Vienna,Centre,1,3.6,203,2945,1,0,8.1,1,1,1,0,0,0,1
H0010162,Vienna,Austria,Aurora & Bridge Hotel · Vienna,Museum District,2,3.7,184,3082,1,1,9.8,1,0,0,1,0,1,1
H0010163,Vienna,Austria,Bridge Hotel by Bluebird · Vienna,Market District,3,4.3,144,3219,0,0,11.5,1,1,0,1,1,0,1
H0010164,Vienna,Austria,Canopy Harbour Hotel · Vienna,Harbour,4,4.2,145,3356,1,1,1.2,1,0,0,1,1,0,0
H0010165,Vienna,Austria,Centre Cedar Bridge · Vienna,Centre,5,4.7,182,3493,1,0,2.9,1,1,0,0,0,0,1
H0010166,Vienna,Austria,The Copper Bridge Hotel · Vienna,Museum District,1,3.6,202,3630,0,1,4.6,1,0,1,1,0,0,1
H0010167,Vienna,Austria,Crown & Bridge Hotel · Vienna,Market District,2,4.0,108,3767,1,0,6.3,1,1,0,1,0,0,1
H0010168,Vienna,Austria,Bridge Hotel by Dawn · Vienna,Harbour,3,3.7,193,3904,1,1,8.0,1,0,0,1,0,0,1
H0010169,Vienna,Austria,Ember Centre Hotel · Vienna,Centre,4,4.7,141,4041,0,0,9.7,1,1,0,0,1,1,1
H0010170,Vienna,Austria,Museum District Evergreen Bridge · Vienna,Museum District,5,4.3,171,4178,1,1,11.4,1,0,0,1,1,0,1
H0010171,Vienna,Austria,The Fern Bridge Hotel · Vienna,Market District,1,3.6,100,4315,1,0,1.1,1,1,1,1,0,0,1
H0010172,Vienna,Austria,Golden & Bridge Hotel · Vienna,Harbour,2,4.2,211,4452,0,1,2.8,1,0,0,1,0,0,0
H0010173,Vienna,Austria,Bridge Hotel by Harbour · Vienna,Centre,3,3.8,145,4589,1,0,4.5,1,1,0,0,0,0,1
H0010174,Vienna,Austria,Ivory Museum District Hotel · Vienna,Museum District,4,4.2,149,4726,1,1,6.2,1,0,0,1,0,0,1
H0010175,Vienna,Austria,Market District Juniper Bridge · Vienna,Market District,5,4.5,213,4863,0,0,7.9,1,1,0,1,1,0,1
H0010176,Vienna,Austria,The Lantern Bridge Hotel · Vienna,Harbour,1,3.8,162,5000,1,1,9.6,1,0,1,1,1,1,1
H0010177,Vienna,Austria,Laurel & Bridge Hotel · Vienna,Centre,2,4.2,202,5137,1,0,11.3,1,1,0,0,0,0,1
H0010178,Vienna,Austria,Bridge Hotel by Linden · Vienna,Museum District,3,4.2,115,5274,0,1,1.0,1,0,0,1,0,0,1
H0010179,Vienna,Austria,Marble Market District Hotel · Vienna,Market District,4,4.5,199,5411,1,0,2.7,1,1,0,1,0,0,1
H0010180,Vienna,Austria,Harbour Meadow Bridge · Vienna,Harbour,5,4.4,228,5548,1,1,4.4,1,0,0,1,0,0,0
H0010181,Vienna,Austria,The Meridian Bridge Hotel · Vienna,Centre,1,3.3,196,5685,0,0,6.1,1,1,1,0,1,0,1
H0010182,Vienna,Austria,Moonlight & Bridge Hotel · Vienna,Museum District,2,3.6,113,5822,1,1,7.8,1,0,0,1,1,0,1
H0010183,Vienna,Austria,Bridge Hotel by Northlight · Vienna,Market District,3,4.4,209,5959,1,0,9.5,1,1,0,1,0,1,1
H0010184,Vienna,Austria,Olive Harbour Hotel · Vienna,Harbour,4,4.4,163,6096,0,1,11.2,1,0,0,1,0,0,1
H0010185,Vienna,Austria,Centre Orchid Bridge · Vienna,Centre,5,4.4,170,6233,1,0,0.9,1,1,0,0,0,0,1
H0010186,Vienna,Austria,The Pearl Bridge Hotel · Vienna,Museum District,1,3.8,110,6370,1,1,2.6,1,0,1,1,0,0,1
H0010187,Vienna,Austria,Pine & Bridge Hotel · Vienna,Market District,2,4.0,208,6507,0,0,4.3,1,1,0,1,1,0,1
H0010188,Vienna,Austria,Bridge Hotel by Raven · Vienna,Harbour,3,3.9,176,6644,1,1,6.0,1,0,0,1,1,0,0
H0010189,Vienna,Austria,Rosewood Centre Hotel · Vienna,Centre,4,4.1,245,6781,1,0,7.7,1,1,0,0,0,0,1
H0010190,Vienna,Austria,Museum District Saffron Bridge · Vienna,Museum District,5,4.8,155,6918,0,1,9.4,1,0,0,1,0,1,1
H0010191,Vienna,Austria,The Silver Bridge Hotel · Vienna,Market District,1,3.7,190,7055,1,0,11.1,1,1,1,1,0,0,1
H0010192,Vienna,Austria,Solstice & Bridge Hotel · Vienna,Harbour,2,3.7,99,7192,1,1,0.8,1,0,0,1,0,0,1
H0010193,Vienna,Austria,Bridge Hotel by Stone · Vienna,Centre,3,4.0,130,7329,0,0,2.5,1,1,0,0,1,0,1
H0010194,Vienna,Austria,Sunrise Museum District Hotel · Vienna,Museum District,4,4.4,162,7466,1,1,4.2,1,0,0,1,1,0,1
H0010195,Vienna,Austria,Market District Terrace Bridge · Vienna,Market District,5,4.3,200,7603,1,0,5.9,1,1,0,1,0,0,1
H0010196,Vienna,Austria,The Velvet Bridge Hotel · Vienna,Harbour,1,3.7,138,7740,0,1,7.6,1,0,1,1,0,0,0
H0010197,Vienna,Austria,Willow & Bridge Hotel · Vienna,Centre,2,3.9,113,7877,1,0,9.3,1,1,0,0,0,1,1
H0010198,Vienna,Austria,Bridge Hotel by Wren · Vienna,Museum District,3,3.8,227,8014,1,1,11.0,1,0,0,1,0,0,1
