dataset,city,rows
restaurants.csv,Istanbul,1500
restaurants.csv,Krakow,1500
restaurants.csv,Lisbon,1500
restaurants.csv,Ljubljana,1500
restaurants.csv,London,1500
restaurants.csv,Luxembourg,1500
restaurants.csv,Lyon,1500
restaurants.csv,Madrid,1500
restaurants.csv,Malta,1500
restaurants.csv,Marseille,1500
restaurants.csv,Milan,1500
restaurants.csv,Munich,1500
restaurants.csv,Naples,1500
restaurants.csv,Nice,1500
restaurants.csv,Nicosia,1500
restaurants.csv,Oslo,1500
restaurants.csv,Paris,1500
restaurants.csv,Porto,1500
restaurants.csv,Prague,1500
restaurants.csv,Reykjavik,1500
restaurants.csv,Riga,1500
restaurants.csv,Rome,1500
restaurants.csv,Salzburg,1500
restaurants.csv,Sarajevo,1500
restaurants.csv,Seville,1500
restaurants.csv,Skopje,1500
restaurants.csv,Sofia,1500
restaurants.csv,Split,1500
restaurants.csv,Stockholm,1500
restaurants.csv,Tallinn,1500
restaurants.csv,Thessaloniki,1500
restaurants.csv,Tirana,1500
restaurants.csv,Valencia,1500
restaurants.csv,Venice,1500
restaurants.csv,Vienna,1500
restaurants.csv,Vilnius,1500
restaurants.csv,Warsaw,1500
restaurants.csv,Zagreb,1500
restaurants.csv,Zurich,1500
attractions.csv,Amsterdam,1500
attractions.csv,Athens,1500
attractions.csv,Barcelona,1500
attractions.csv,Belgrade,1500
attractions.csv,Berlin,1500
attractions.csv,Bologna,1500
attractions.csv,Bratislava,1500
attractions.csv,Brussels,1500
attractions.csv,Bucharest,1500
attractions.csv,Budapest,1500
attractions.csv,Cologne,1500
attractions.csv,Copenhagen,1500
attractions.csv,Dublin,1500
attractions.csv,Dubrovnik,1500
attractions.csv,Edinburgh,1500
attractions.csv,Florence,1500
attractions.csv,Gdansk,1500
attractions.csv,Geneva,1500
attractions.csv,Hamburg,1500
attractions.csv,Helsinki,1500
attractions.csv,Innsbruck,1500
attractions.csv,Istanbul,1500
attractions.csv,Krakow,1500
attractions.csv,Lisbon,1500
attractions.csv,Ljubljana,1500
attractions.csv,London,1500
attractions.csv,Luxembourg,1500
attractions.csv,Lyon,1500
attractions.csv,Madrid,1500
attractions.csv,Malta,1500
attractions.csv,Marseille,1500
attractions.csv,Milan,1500
attractions.csv,Munich,1500
attractions.csv,Naples,1500
attractions.csv,Nice,1500
attractions.csv,Nicosia,1500
attractions.csv,Oslo,1500
attractions.csv,Paris,1500
attractions.csv,Porto,1500
attractions.csv,Prague,1500
attractions.csv,Reykjavik,1500
attractions.csv,Riga,1500
attractions.csv,Rome,1500
attractions.csv,Salzburg,1500
attractions.csv,Sarajevo,1500
attractions.csv,Seville,1500
attractions.csv,Skopje,1500
attractions.csv,Sofia,1500
attractions.csv,Split,1500
attractions.csv,Stockholm,1500
attractions.csv,Tallinn,1500
attractions.csv,Thessaloniki,1500
attractions.csv,Tirana,1500
attractions.csv,Valencia,1500
attractions.csv,Venice,1500
attractions.csv,Vienna,1500
attractions.csv,Vilnius,1500
attractions.csv,Warsaw,1500
attractions.csv,Zagreb,1500
attractions.csv,Zurich,1500
